"FrameMs","Frame","DrawCalls","IsWorld3D","BuildingRenderBudget","BuildingsVisible","BuildingsInFrustum"
"16.6666985",,"2",,,,
"16.6666012",,"2",,,,
"16.6661",,"2",,,,
"16.6689987",,"2",,,,
"16.6688",,"2",,,,
"16.6662",,"2",,,,
"16.6666012",,"2",,,,
"16.6684",,"2",,,,
"16.6696",,"2",,,,
"17.0311",,"2",,,,
"16.7533989",,"2",,,,
"16.667099",,"2",,,,
"16.6674",,"2",,,,
"16.6659",,"2",,,,
"16.7122",,"2",,,,
"16.6676",,"2",,,,
"16.6663",,"2",,,,
"16.6666012",,"2",,,,
"16.6672",,"2",,,,
"16.6674",,"2",,,,
"16.6654",,"2",,,,
"16.6685",,"2",,,,
"17.2504",,"2",,,,
"16.6649",,"2",,,,
"16.6678",,"2",,,,
"16.6666985",,"2",,,,
"16.6701012",,"2",,,,
"16.7023",,"2",,,,
"16.6666012",,"2",,,,
"16.6669",,"2",,,,
"16.6677",,"2",,,,
"16.6652",,"2",,,,
"16.667",,"2",,,,
"16.6714",,"2",,,,
"16.6638012",,"2",,,,
"16.6645",,"2",,,,
"16.6662",,"2",,,,
"16.666399",,"2",,,,
"16.667099",,"2",,,,
"35.1275978",,"2",,,,
"16.6659",,"2",,,,
"16.6669",,"2",,,,
"16.6673012",,"2",,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
,"-1",,,,,
